case_id,resource,activity,start_time,end_time
13,Clerk-000003,Approve application,2023-02-10 10:42:26.346000+00:00,2023-02-10 10:47:26.346000+00:00
21,AML Investigator-000001,AML check,2023-02-10 10:40:41.305000+00:00,2023-02-10 10:53:55.853000+00:00
20,Loan Officer-000004,Assess loan risk,2023-02-10 10:35:16.846000+00:00,2023-02-10 10:55:16.846000+00:00
20,Loan Officer-000001,Design loan offer,2023-02-10 10:55:16.846000+00:00,2023-02-10 10:57:20.178000+00:00
21,Appraiser-000001,Appraise property,2023-02-10 10:40:41.305000+00:00,2023-02-10 11:00:40.525000+00:00
19,Clerk-000004,Check credit history,2023-02-10 10:06:40.931000+00:00,2023-02-10 11:02:33.205000+00:00
18,Senior Officer-000001,Approve loan offer,2023-02-10 10:43:17.476000+00:00,2023-02-10 11:03:17.476000+00:00
22,Clerk-000006,Check application form completeness,2023-02-10 11:00:00+00:00,2023-02-10 11:03:48.570000+00:00
18,Clerk-000007,Cancel application,2023-02-10 11:03:17.476000+00:00,2023-02-10 11:08:17.476000+00:00
22,AML Investigator-000002,AML check,2023-02-10 11:03:48.570000+00:00,2023-02-10 11:13:27.797000+00:00
22,Clerk-000005,Check credit history,2023-02-10 11:03:48.570000+00:00,2023-02-10 11:15:00.422000+00:00
20,Senior Officer-000002,Approve loan offer,2023-02-10 10:57:20.178000+00:00,2023-02-10 11:17:20.178000+00:00
20,Clerk-000008,Approve application,2023-02-10 11:17:20.178000+00:00,2023-02-10 11:22:20.178000+00:00
19,Appraiser-000002,Appraise property,2023-02-10 10:06:40.931000+00:00,2023-02-10 11:23:44.233000+00:00
22,Appraiser-000001,Appraise property,2023-02-10 11:03:48.570000+00:00,2023-02-10 11:24:23.507000+00:00
17,Clerk-000002,Check credit history,2023-02-10 09:49:48.271000+00:00,2023-02-10 11:28:15.800000+00:00
21,Clerk-000001,Check credit history,2023-02-10 10:40:41.305000+00:00,2023-02-10 11:31:49.197000+00:00
19,Loan Officer-000003,Assess loan risk,2023-02-10 11:23:44.233000+00:00,2023-02-10 11:43:44.233000+00:00
22,Loan Officer-000002,Assess loan risk,2023-02-10 11:24:23.507000+00:00,2023-02-10 11:44:23.507000+00:00
23,Clerk-000003,Check application form completeness,2023-02-10 11:30:00+00:00,2023-02-10 11:46:26.975000+00:00
17,Loan Officer-000004,Assess loan risk,2023-02-10 11:28:15.800000+00:00,2023-02-10 11:48:15.800000+00:00
17,Loan Officer-000003,Design loan offer,2023-02-10 11:48:15.800000+00:00,2023-02-10 11:51:17.047000+00:00
21,Loan Officer-000001,Assess loan risk,2023-02-10 11:31:49.197000+00:00,2023-02-10 11:51:49.197000+00:00
21,Loan Officer-000002,Design loan offer,2023-02-10 11:51:49.197000+00:00,2023-02-10 11:52:10.264000+00:00
19,Clerk-000004,Reject application,2023-02-10 11:43:44.233000+00:00,2023-02-10 11:53:44.233000+00:00
23,Clerk-000007,Check credit history,2023-02-10 11:46:26.975000+00:00,2023-02-10 11:54:12.325000+00:00
22,Clerk-000006,Reject application,2023-02-10 11:44:23.507000+00:00,2023-02-10 11:54:23.507000+00:00
23,AML Investigator-000001,AML check,2023-02-10 11:46:26.975000+00:00,2023-02-10 11:56:10.417000+00:00
23,Appraiser-000002,Appraise property,2023-02-10 11:46:26.975000+00:00,2023-02-10 12:00:36.976000+00:00
24,Clerk-000005,Check application form completeness,2023-02-10 12:00:00+00:00,2023-02-10 12:03:00.320000+00:00
24,Appraiser-000001,Appraise property,2023-02-10 12:03:00.320000+00:00,2023-02-10 12:08:23.469000+00:00
17,Senior Officer-000001,Approve loan offer,2023-02-10 11:51:17.047000+00:00,2023-02-10 12:11:17.047000+00:00
21,Senior Officer-000002,Approve loan offer,2023-02-10 11:52:10.264000+00:00,2023-02-10 12:12:10.264000+00:00
17,Clerk-000002,Cancel application,2023-02-10 12:11:17.047000+00:00,2023-02-10 12:16:17.047000+00:00
21,Clerk-000001,Cancel application,2023-02-10 12:12:10.264000+00:00,2023-02-10 12:17:10.264000+00:00
23,Loan Officer-000004,Assess loan risk,2023-02-10 12:00:36.976000+00:00,2023-02-10 12:20:36.976000+00:00
24,Clerk-000008,Check credit history,2023-02-10 12:03:00.320000+00:00,2023-02-10 12:22:14.175000+00:00
23,Loan Officer-000003,Design loan offer,2023-02-10 12:20:36.976000+00:00,2023-02-10 12:50:46.380000+00:00
25,Clerk-000003,Check application form completeness,2023-02-10 12:30:00+00:00,2023-02-10 12:54:44.247000+00:00
25,Clerk-000004,Check credit history,2023-02-10 12:54:44.247000+00:00,2023-02-10 12:56:16.682000+00:00
25,Appraiser-000002,Appraise property,2023-02-10 12:54:44.247000+00:00,2023-02-10 13:00:13.872000+00:00
23,Senior Officer-000001,Approve loan offer,2023-02-10 12:50:46.380000+00:00,2023-02-10 13:10:46.380000+00:00
23,Clerk-000006,Approve application,2023-02-10 13:10:46.380000+00:00,2023-02-10 13:15:46.380000+00:00
26,Clerk-000007,Check application form completeness,2023-02-10 13:00:00+00:00,2023-02-10 13:29:07.377000+00:00
25,AML Investigator-000001,AML check,2023-02-10 12:54:44.247000+00:00,2023-02-10 13:33:09.234000+00:00
26,AML Investigator-000001,AML check,2023-02-10 13:33:09.234000+00:00,2023-02-10 13:34:36.796000+00:00
26,Clerk-000005,Check credit history,2023-02-10 13:29:07.377000+00:00,2023-02-10 13:35:58.313000+00:00
26,Appraiser-000001,Appraise property,2023-02-10 13:29:07.377000+00:00,2023-02-10 13:44:23.941000+00:00
24,AML Investigator-000002,AML check,2023-02-10 12:03:00.320000+00:00,2023-02-10 13:51:00.198000+00:00
25,Loan Officer-000001,Assess loan risk,2023-02-10 13:33:09.234000+00:00,2023-02-10 13:53:09.234000+00:00
27,Clerk-000002,Check application form completeness,2023-02-10 13:30:00+00:00,2023-02-10 13:53:24.303000+00:00
28,Clerk-000003,Check application form completeness,2023-02-10 14:00:00+00:00,2023-02-10 14:00:13.365000+00:00
27,Appraiser-000002,Appraise property,2023-02-10 13:53:24.303000+00:00,2023-02-10 14:00:22.425000+00:00
27,Clerk-000008,Check credit history,2023-02-10 13:53:24.303000+00:00,2023-02-10 14:01:52.816000+00:00
25,Clerk-000001,Reject application,2023-02-10 13:53:09.234000+00:00,2023-02-10 14:03:09.234000+00:00
26,Loan Officer-000002,Assess loan risk,2023-02-10 13:44:23.941000+00:00,2023-02-10 14:04:23.941000+00:00
27,AML Investigator-000001,AML check,2023-02-10 13:53:24.303000+00:00,2023-02-10 14:06:11.525000+00:00
28,AML Investigator-000002,AML check,2023-02-10 14:00:13.365000+00:00,2023-02-10 14:06:35.120000+00:00
26,Loan Officer-000003,Design loan offer,2023-02-10 14:04:23.941000+00:00,2023-02-10 14:10:13.620000+00:00
24,Loan Officer-000004,Assess loan risk,2023-02-10 13:51:00.198000+00:00,2023-02-10 14:11:00.198000+00:00
24,Loan Officer-000002,Design loan offer,2023-02-10 14:11:00.198000+00:00,2023-02-10 14:11:02.808000+00:00
27,Loan Officer-000001,Assess loan risk,2023-02-10 14:06:11.525000+00:00,2023-02-10 14:26:11.525000+00:00
26,Senior Officer-000002,Approve loan offer,2023-02-10 14:10:13.620000+00:00,2023-02-10 14:30:13.620000+00:00
24,Senior Officer-000001,Approve loan offer,2023-02-10 14:11:02.808000+00:00,2023-02-10 14:31:02.808000+00:00
26,Clerk-000007,Cancel application,2023-02-10 14:30:13.620000+00:00,2023-02-10 14:35:13.620000+00:00
24,Clerk-000005,Approve application,2023-02-10 14:31:02.808000+00:00,2023-02-10 14:36:02.808000+00:00
27,Loan Officer-000003,Design loan offer,2023-02-10 14:26:11.525000+00:00,2023-02-10 14:39:44.835000+00:00
28,Appraiser-000001,Appraise property,2023-02-10 14:00:13.365000+00:00,2023-02-10 14:46:42.095000+00:00
28,Clerk-000004,Check credit history,2023-02-10 14:00:13.365000+00:00,2023-02-10 14:48:02.585000+00:00
29,Clerk-000006,Check application form completeness,2023-02-10 14:30:00+00:00,2023-02-10 14:51:02.526000+00:00
29,AML Investigator-000001,AML check,2023-02-10 14:51:02.526000+00:00,2023-02-10 14:57:28.989000+00:00
27,Senior Officer-000002,Approve loan offer,2023-02-10 14:39:44.835000+00:00,2023-02-10 14:59:44.835000+00:00
29,Clerk-000002,Check credit history,2023-02-10 14:51:02.526000+00:00,2023-02-13 07:01:23.530000+00:00
27,Clerk-000003,Cancel application,2023-02-10 14:59:44.835000+00:00,2023-02-13 07:04:44.835000+00:00
28,Loan Officer-000004,Assess loan risk,2023-02-10 14:48:02.585000+00:00,2023-02-13 07:08:02.585000+00:00
30,Clerk-000008,Check application form completeness,2023-02-10 15:00:00+00:00,2023-02-13 07:10:18.825000+00:00
29,Appraiser-000002,Appraise property,2023-02-10 14:51:02.526000+00:00,2023-02-13 07:15:05.575000+00:00
28,Clerk-000001,Reject application,2023-02-13 07:08:02.585000+00:00,2023-02-13 07:18:02.585000+00:00
30,Appraiser-000001,Appraise property,2023-02-13 07:10:18.825000+00:00,2023-02-13 07:18:03.817000+00:00
30,AML Investigator-000002,AML check,2023-02-13 07:10:18.825000+00:00,2023-02-13 07:24:58.642000+00:00
29,Loan Officer-000002,Assess loan risk,2023-02-13 07:15:05.575000+00:00,2023-02-13 07:35:05.575000+00:00
31,Clerk-000005,Check application form completeness,2023-02-13 07:30:00+00:00,2023-02-13 07:37:15.326000+00:00
31,AML Investigator-000001,AML check,2023-02-13 07:37:15.326000+00:00,2023-02-13 07:40:40.216000+00:00
29,Clerk-000004,Reject application,2023-02-13 07:35:05.575000+00:00,2023-02-13 07:45:05.575000+00:00
31,Appraiser-000002,Appraise property,2023-02-13 07:37:15.326000+00:00,2023-02-13 07:49:28.056000+00:00
31,Clerk-000006,Check credit history,2023-02-13 07:37:15.326000+00:00,2023-02-13 07:59:58.349000+00:00
31,Loan Officer-000001,Assess loan risk,2023-02-13 07:59:58.349000+00:00,2023-02-13 08:19:58.349000+00:00
30,Clerk-000007,Check credit history,2023-02-13 07:10:18.825000+00:00,2023-02-13 08:22:08.684000+00:00
32,Clerk-000002,Check application form completeness,2023-02-13 08:00:00+00:00,2023-02-13 08:28:19.211000+00:00
31,Clerk-000003,Reject application,2023-02-13 08:19:58.349000+00:00,2023-02-13 08:29:58.349000+00:00
32,AML Investigator-000002,AML check,2023-02-13 08:28:19.211000+00:00,2023-02-13 08:31:39.310000+00:00
32,Appraiser-000001,Appraise property,2023-02-13 08:28:19.211000+00:00,2023-02-13 08:32:46.378000+00:00
32,Clerk-000008,Check credit history,2023-02-13 08:28:19.211000+00:00,2023-02-13 08:38:22.887000+00:00
30,Loan Officer-000003,Assess loan risk,2023-02-13 08:22:08.684000+00:00,2023-02-13 08:42:08.684000+00:00
30,Loan Officer-000002,Design loan offer,2023-02-13 08:42:08.684000+00:00,2023-02-13 08:53:01.615000+00:00
32,Loan Officer-000004,Assess loan risk,2023-02-13 08:38:22.887000+00:00,2023-02-13 08:58:22.887000+00:00
32,Clerk-000005,Reject application,2023-02-13 08:58:22.887000+00:00,2023-02-13 09:08:22.887000+00:00
30,Senior Officer-000001,Approve loan offer,2023-02-13 08:53:01.615000+00:00,2023-02-13 09:13:01.615000+00:00
30,Clerk-000006,Cancel application,2023-02-13 09:13:01.615000+00:00,2023-02-13 09:18:01.615000+00:00
34,Clerk-000004,Check application form completeness,2023-02-13 09:00:00+00:00,2023-02-13 09:21:41.657000+00:00
34,Clerk-000007,Check credit history,2023-02-13 09:21:41.657000+00:00,2023-02-13 09:22:58.051000+00:00
34,AML Investigator-000001,AML check,2023-02-13 09:21:41.657000+00:00,2023-02-13 09:24:38.172000+00:00
34,Appraiser-000002,Appraise property,2023-02-13 09:21:41.657000+00:00,2023-02-13 09:25:18.185000+00:00
33,Clerk-000001,Check application form completeness,2023-02-13 08:30:00+00:00,2023-02-13 09:31:44.435000+00:00
33,Appraiser-000001,Appraise property,2023-02-13 09:31:44.435000+00:00,2023-02-13 09:35:46.589000+00:00
34,Loan Officer-000001,Assess loan risk,2023-02-13 09:25:18.185000+00:00,2023-02-13 09:45:18.185000+00:00
35,Clerk-000002,Check application form completeness,2023-02-13 09:30:00+00:00,2023-02-13 09:50:18.349000+00:00
34,Loan Officer-000003,Design loan offer,2023-02-13 09:45:18.185000+00:00,2023-02-13 10:01:01.383000+00:00
33,Clerk-000003,Check credit history,2023-02-13 09:31:44.435000+00:00,2023-02-13 10:09:50.015000+00:00
35,Clerk-000008,Check credit history,2023-02-13 09:50:18.349000+00:00,2023-02-13 10:11:14.660000+00:00
36,Clerk-000005,Check application form completeness,2023-02-13 10:00:00+00:00,2023-02-13 10:13:30.764000+00:00
34,Senior Officer-000002,Approve loan offer,2023-02-13 10:01:01.383000+00:00,2023-02-13 10:21:01.383000+00:00
36,Appraiser-000001,Appraise property,2023-02-13 10:13:30.764000+00:00,2023-02-13 10:22:35.619000+00:00
34,Clerk-000004,Cancel application,2023-02-13 10:21:01.383000+00:00,2023-02-13 10:26:01.383000+00:00
33,AML Investigator-000002,AML check,2023-02-13 09:31:44.435000+00:00,2023-02-13 10:31:16.459000+00:00
35,Appraiser-000002,Appraise property,2023-02-13 09:50:18.349000+00:00,2023-02-13 10:41:43.058000+00:00
36,AML Investigator-000002,AML check,2023-02-13 10:31:16.459000+00:00,2023-02-13 10:41:49.125000+00:00
36,Clerk-000006,Check credit history,2023-02-13 10:13:30.764000+00:00,2023-02-13 10:42:17.307000+00:00
33,Loan Officer-000002,Assess loan risk,2023-02-13 10:31:16.459000+00:00,2023-02-13 10:51:16.459000+00:00
33,Loan Officer-000001,Design loan offer,2023-02-13 10:51:16.459000+00:00,2023-02-13 10:57:36.222000+00:00
37,Clerk-000007,Check application form completeness,2023-02-13 10:30:00+00:00,2023-02-13 10:57:36.793000+00:00
37,Appraiser-000001,Appraise property,2023-02-13 10:57:36.793000+00:00,2023-02-13 10:58:16.009000+00:00
35,AML Investigator-000001,AML check,2023-02-13 09:50:18.349000+00:00,2023-02-13 11:01:30.319000+00:00
36,Loan Officer-000004,Assess loan risk,2023-02-13 10:42:17.307000+00:00,2023-02-13 11:02:17.307000+00:00
38,Clerk-000002,Check application form completeness,2023-02-13 11:00:00+00:00,2023-02-13 11:06:31.632000+00:00
38,Clerk-000008,Check credit history,2023-02-13 11:06:31.632000+00:00,2023-02-13 11:06:58.860000+00:00
38,Appraiser-000002,Appraise property,2023-02-13 11:06:31.632000+00:00,2023-02-13 11:10:51.215000+00:00
37,Clerk-000001,Check credit history,2023-02-13 10:57:36.793000+00:00,2023-02-13 11:11:05.761000+00:00
36,Clerk-000003,Reject application,2023-02-13 11:02:17.307000+00:00,2023-02-13 11:12:17.307000+00:00
33,Senior Officer-000001,Approve loan offer,2023-02-13 10:57:36.222000+00:00,2023-02-13 11:17:36.222000+00:00
35,Loan Officer-000003,Assess loan risk,2023-02-13 11:01:30.319000+00:00,2023-02-13 11:21:30.319000+00:00
33,Clerk-000005,Cancel application,2023-02-13 11:17:36.222000+00:00,2023-02-13 11:22:36.222000+00:00
35,Clerk-000004,Reject application,2023-02-13 11:21:30.319000+00:00,2023-02-13 11:31:30.319000+00:00
37,AML Investigator-000002,AML check,2023-02-13 10:57:36.793000+00:00,2023-02-13 11:32:35.946000+00:00
39,Clerk-000006,Check application form completeness,2023-02-13 11:30:00+00:00,2023-02-13 11:46:39.706000+00:00
37,Loan Officer-000002,Assess loan risk,2023-02-13 11:32:35.946000+00:00,2023-02-13 11:52:35.946000+00:00
40,Clerk-000008,Check application form completeness,2023-02-13 12:00:00+00:00,2023-02-13 12:00:35.459000+00:00
37,Clerk-000002,Reject application,2023-02-13 11:52:35.946000+00:00,2023-02-13 12:02:35.946000+00:00
39,Clerk-000007,Check credit history,2023-02-13 11:46:39.706000+00:00,2023-02-13 12:04:39.523000+00:00
39,AML Investigator-000002,AML check,2023-02-13 11:46:39.706000+00:00,2023-02-13 12:13:58.549000+00:00
40,AML Investigator-000002,AML check,2023-02-13 12:13:58.549000+00:00,2023-02-13 12:17:20.137000+00:00
40,Appraiser-000002,Appraise property,2023-02-13 12:00:35.459000+00:00,2023-02-13 12:26:29.314000+00:00
40,Clerk-000001,Check credit history,2023-02-13 12:00:35.459000+00:00,2023-02-13 12:33:35.147000+00:00
41,Clerk-000003,Check application form completeness,2023-02-13 12:30:00+00:00,2023-02-13 12:35:54.538000+00:00
41,Clerk-000005,Check credit history,2023-02-13 12:35:54.538000+00:00,2023-02-13 12:38:53.670000+00:00
38,AML Investigator-000001,AML check,2023-02-13 11:06:31.632000+00:00,2023-02-13 12:38:56.490000+00:00
41,Appraiser-000002,Appraise property,2023-02-13 12:35:54.538000+00:00,2023-02-13 12:41:23.222000+00:00
40,Loan Officer-000001,Assess loan risk,2023-02-13 12:33:35.147000+00:00,2023-02-13 12:53:35.147000+00:00
38,Loan Officer-000004,Assess loan risk,2023-02-13 12:38:56.490000+00:00,2023-02-13 12:58:56.490000+00:00
40,Clerk-000004,Reject application,2023-02-13 12:53:35.147000+00:00,2023-02-13 13:03:35.147000+00:00
39,Appraiser-000001,Appraise property,2023-02-13 11:46:39.706000+00:00,2023-02-13 13:04:31.029000+00:00
38,Clerk-000006,Reject application,2023-02-13 12:58:56.490000+00:00,2023-02-13 13:08:56.490000+00:00
39,Loan Officer-000003,Assess loan risk,2023-02-13 13:04:31.029000+00:00,2023-02-13 13:24:31.029000+00:00
39,Loan Officer-000002,Design loan offer,2023-02-13 13:24:31.029000+00:00,2023-02-13 13:28:14.421000+00:00
42,Clerk-000008,Check application form completeness,2023-02-13 13:00:00+00:00,2023-02-13 13:32:26.813000+00:00
42,Clerk-000007,Check credit history,2023-02-13 13:32:26.813000+00:00,2023-02-13 13:36:04.421000+00:00
41,AML Investigator-000002,AML check,2023-02-13 12:35:54.538000+00:00,2023-02-13 13:41:59.488000+00:00
42,AML Investigator-000001,AML check,2023-02-13 13:32:26.813000+00:00,2023-02-13 13:45:02.022000+00:00
39,Senior Officer-000002,Approve loan offer,2023-02-13 13:28:14.421000+00:00,2023-02-13 13:48:14.421000+00:00
39,Clerk-000001,Cancel application,2023-02-13 13:48:14.421000+00:00,2023-02-13 13:53:14.421000+00:00
42,Appraiser-000002,Appraise property,2023-02-13 13:32:26.813000+00:00,2023-02-13 13:58:50.415000+00:00
41,Loan Officer-000001,Assess loan risk,2023-02-13 13:41:59.488000+00:00,2023-02-13 14:01:59.488000+00:00
41,Loan Officer-000003,Design loan offer,2023-02-13 14:01:59.488000+00:00,2023-02-13 14:09:11.207000+00:00
43,Clerk-000002,Check application form completeness,2023-02-13 13:30:00+00:00,2023-02-13 14:13:55.255000+00:00
43,Clerk-000005,Check credit history,2023-02-13 14:13:55.255000+00:00,2023-02-13 14:15:47.811000+00:00
42,Loan Officer-000004,Assess loan risk,2023-02-13 13:58:50.415000+00:00,2023-02-13 14:18:50.415000+00:00
42,Loan Officer-000002,Design loan offer,2023-02-13 14:18:50.415000+00:00,2023-02-13 14:28:43.882000+00:00
41,Senior Officer-000001,Approve loan offer,2023-02-13 14:09:11.207000+00:00,2023-02-13 14:29:11.207000+00:00
41,Clerk-000004,Cancel application,2023-02-13 14:29:11.207000+00:00,2023-02-13 14:34:11.207000+00:00
44,Clerk-000003,Check application form completeness,2023-02-13 14:00:00+00:00,2023-02-13 14:34:36.782000+00:00
43,AML Investigator-000002,AML check,2023-02-13 14:13:55.255000+00:00,2023-02-13 14:35:27.663000+00:00
45,Clerk-000006,Check application form completeness,2023-02-13 14:30:00+00:00,2023-02-13 14:40:54.861000+00:00
44,AML Investigator-000001,AML check,2023-02-13 14:34:36.782000+00:00,2023-02-13 14:44:45.059000+00:00
45,Clerk-000007,Return application back to applicant,2023-02-13 14:40:54.861000+00:00,2023-02-13 14:45:54.861000+00:00
44,Clerk-000008,Check credit history,2023-02-13 14:34:36.782000+00:00,2023-02-13 14:48:23.115000+00:00
42,Senior Officer-000002,Approve loan offer,2023-02-13 14:28:43.882000+00:00,2023-02-13 14:48:43.882000+00:00
42,Clerk-000001,Cancel application,2023-02-13 14:48:43.882000+00:00,2023-02-13 14:53:43.882000+00:00
43,Appraiser-000001,Appraise property,2023-02-13 14:13:55.255000+00:00,2023-02-13 14:55:02.435000+00:00
44,Appraiser-000002,Appraise property,2023-02-13 14:34:36.782000+00:00,2023-02-14 07:02:13.803000+00:00
43,Loan Officer-000001,Assess loan risk,2023-02-13 14:55:02.435000+00:00,2023-02-14 07:15:02.435000+00:00
44,Loan Officer-000003,Assess loan risk,2023-02-14 07:02:13.803000+00:00,2023-02-14 07:22:13.803000+00:00
44,Loan Officer-000002,Design loan offer,2023-02-14 07:22:13.803000+00:00,2023-02-14 07:23:29.230000+00:00
43,Loan Officer-000004,Design loan offer,2023-02-14 07:15:02.435000+00:00,2023-02-14 07:39:13.426000+00:00
44,Senior Officer-000001,Approve loan offer,2023-02-14 07:23:29.230000+00:00,2023-02-14 07:43:29.230000+00:00
45,Applicant-000001,Applicant completes form,2023-02-13 14:45:54.861000+00:00,2023-02-14 07:45:54.861000+00:00
44,Clerk-000004,Approve application,2023-02-14 07:43:29.230000+00:00,2023-02-14 07:48:29.230000+00:00
45,Clerk-000003,Check application form completeness,2023-02-14 07:45:54.861000+00:00,2023-02-14 07:48:49.314000+00:00
46,Clerk-000002,Check application form completeness,2023-02-13 15:00:00+00:00,2023-02-14 07:52:57.955000+00:00
46,Clerk-000007,Return application back to applicant,2023-02-14 07:52:57.955000+00:00,2023-02-14 07:57:57.955000+00:00
43,Senior Officer-000002,Approve loan offer,2023-02-14 07:39:13.426000+00:00,2023-02-14 07:59:13.426000+00:00
45,Appraiser-000001,Appraise property,2023-02-14 07:48:49.314000+00:00,2023-02-14 08:00:23.166000+00:00
43,Clerk-000008,Approve application,2023-02-14 07:59:13.426000+00:00,2023-02-14 08:04:13.426000+00:00
48,Clerk-000001,Check application form completeness,2023-02-14 08:00:00+00:00,2023-02-14 08:14:03.635000+00:00
47,Clerk-000005,Check application form completeness,2023-02-14 07:30:00+00:00,2023-02-14 08:20:57.294000+00:00
47,Clerk-000003,Check credit history,2023-02-14 08:20:57.294000+00:00,2023-02-14 08:26:46.688000+00:00
48,Clerk-000004,Check credit history,2023-02-14 08:14:03.635000+00:00,2023-02-14 08:31:02.710000+00:00
